Cluster,Channel,Count
cluster 0 (n=264):,,
,channel Music Game News videos:,24
,channel Nic & Rei videos:,18
,channel Pinoy Planet videos:,12
,channel Adam and Jane's Lifestyle videos:,6
,channel KIM n LEE videos:,6
,channel Waleska Herrera videos:,6
,channel Beryl Shereshewsky videos:,5
,channel FoodieMommaPH videos:,5
,channel People Vs Food videos:,5
,channel Big Guy Appetite videos:,4
,channel BuzzFeed UK videos:,4
,channel BuzzFeedVideo videos:,4
,channel Eater videos:,4
,channel Mark Wiens videos:,4
,channel Proudly Nomadic videos:,4
,channel THE K-POP videos:,4
,channel The Juicy Vlog videos:,4
,channel VI3ION videos:,4
,channel Flying Kell videos:,3
,channel Munchies videos:,3
,channel Randy Santel videos:,3
,channel TPL Bianca videos:,3
,channel TriFate Lifestyle videos:,3
,channel nazfromqueens videos:,3
,channel Bret Maverick videos:,2
,channel Dodo Explorers videos:,2
,channel Every Day is CHUsDay videos:,2
,channel Flora and Note videos:,2
,channel Foodbeast videos:,2
,channel Justin & Alina videos:,2
,channel Lifey videos:,2
,channel Mia Sandoval videos:,2
,channel Sol & Luna TV videos:,2
,channel The Commodity videos:,2
,channel The Garcia Family videos:,2
,channel The Love Train Nation videos:,2
,channel The Porkchop Bun videos:,2
,channel TriFate Geo videos:,2
,channel USA to Philippines Life videos:,2
,channel 8 Miles from Home videos:,1
,channel Aaron Around videos:,1
,channel Addie Reacts videos:,1
,channel Always Be Changing videos:,1
,channel American Entrepreneur in the Philippines videos:,1
,channel Aria Inthavong videos:,1
,channel Avelina Encabo.CHANNEL videos:,1
,channel Bags Packed Family videos:,1
,channel Before You Go videos:,1
,channel Best Ever Food Review Show videos:,1
,channel Bon Appétit videos:,1
,channel Brigitte McBride videos:,1
,channel CBS New York videos:,1
,"channel CebuWomen,com videos:",1
,channel Chasing Kimberly videos:,1
,channel Chris Kusinero Adventures videos:,1
,channel Chuckie's Kitchen videos:,1
,channel Dan and Lyn videos:,1
,channel Dennis Asuncion videos:,1
,channel Drew Binsky videos:,1
,channel EXCLUSIVE TRAVEL REVIEWS videos:,1
,channel Filipino British Couple videos:,1
,channel Foodie Legends videos:,1
,channel Fun And Talk videos:,1
