Video Id,Channel Id
--8n6A8Q6M0,UCWm__g4cPmX-umorqM8VfWw
-0FfyNZdHk0,UCR-yUQRWEciSqQowtTDHskA
-1B7cVoZr1c,UCUB6A2YY9soreMGNwDLh-zw
-4yu_13EHFM,UCFvQ_bDaalb-1ZyCb48LCpA
-6FvAU9H98w,UCixD9UbKvDxzGNiPC_fgHyA
-7vF5F-1btE,UC_hN8xs99S6jnMdYCuJgoJA
-9ACKA4sQ4U,UCufN1_2lxrI_C5JgbfU89ew
-9bfDHHneyU,UC-wdvwNBuVobJRbISwjA5Hw
-9hDaG3nJwg,UCi9mzS8H-ez_30w5SCL2dmw
-C5iB25BRsA,UChJZEuE4O45M6CbcYOS3U1w
-GVbt3qdq70,UCPAz3hWHiBC-c1x4K0-atsg
-JTkbbE_KP4,UCxKN5z9rc4DlZ-7gI7mHKFg
-JlBNKlG3Yw,UCVv-y0k91qAA-uI_K46UBvg
-KHOXPq_M-Q,UCU78xbApo9_MCzS7B_tfY8w
-NkPxyvAqzA,UC25HBOBYfc-scqCQcyYKVNw
-O-ZnlGZq-4,UCCqW89kkbLYRK912SLPsEmw
-P_7E7gq6vs,UCp4-ksiKbZ3vTmv3gQ6tF8w
-Pe-c-CHkIo,UCEOsP00dFUPSkLzEf12H3cA
-Ts46vj5sEc,UC_2iPQwn_V2SflddzbtalLg
-U5-r29G-t0,UCSp8fcx6N6EqteugsAHD9Vw
-WaDvcu7mcw,UCcaIZBgmiYTJP9fpO_xjMTQ
-Wgdk-C7Rb8,UCP_y6xg3u3hF3pskXosMQyQ
-WuFjxvGJnI,UClC88Hwf0c115jFj-fhVj2A
-XCc67Ijcz8,UCCgVh36x3hbuRnHMpwl443Q
-Ya6eSQ3wng,UCYr4VTQfBpXrccQw_H2S8RA
-_E2KyNAvqg,UCPAz3hWHiBC-c1x4K0-atsg
-cOD9GglwzU,UCqdBWKP4_8bU-Rsk2LvVz6Q
-fWzHd63UCA,UCO5Jeark1e_JP36mY3ua19g
-iQod4ZhOB8,UCdkq517IaeUcnG5CIiFX9RA
-laaTEnlB4U,UCzfEqx1_-zs2xUUzI3jVRSg
-nW5dsB-z4E,UCRe3yRMUuJkNeWLtO9kBGqg
-qbHvJ626lI,UCryJ4vhASeu7uhXRPOL3WhA
-tg0rduTy7c,UCobYD8WgP3GPOqgvXF2Yy1w
-uj2svY5754,UCobYD8WgP3GPOqgvXF2Yy1w
-y_PrLcIeOg,UCoqGJPtvsPpALlhtqB1lcHA
0-_hHvFLbFQ,UCryJ4vhASeu7uhXRPOL3WhA
0-dAyU-yUWk,UCoWQLZoPwn3mJ-oiPrwDpbA
008Fi25LbKY,UCLvnKTwSZEnCbTHNnqiivRQ
00qBuhJeG-o,UC3PVtkwtqwCD4LEPguBEADA
01CgNpWKero,UCAUgY9e_n2DhyZTgvPRoJnQ
026urE67c8c,UCHza0GAxOvBOeLKkMeL8EcQ
06Qq4to_l10,UCoWQLZoPwn3mJ-oiPrwDpbA
06YeEjVLC0E,UCtNK-R1uX4hKBYU-GM54gHQ
