Video ID,text_cleaned,cluster,x0_Bert-CLS,x1_Bert-CLS
g75rWQokYBA,Why some Koreans Underrate the Filipino English Accent,4,-0.6854569,1.8504733
RWEssVacb00,Iloilo Modern City!,4,-0.93742377,4.344775
fBKaY6eD5vs,Even the Filipino Police Can Sing?,4,-0.56035644,3.5182374
45j2p4FEI_o,Doctors In The Philippines Family Doctor & Specialists EASIER THAN IN CANADA!?!!,4,-0.18560447,3.4963114
q9KqyXi6IRM,Philippines,4,-1.9214334,2.782858
tx-F7DKfzmk,Queen,4,-2.866161,-0.978743
K-W7_RY8d4M,Filipino Kids Learn Filipino Culture,4,-1.1127402,2.88061
jnP26DJ4Eok,Shocking..! Japanese reaction,4,-0.740614,1.9307038
ohwPQhHSwfc,MASK SINGER Vocal Coach,4,-1.1964401,1.1006621
aJ3H99d41l0,Pho Hoa,4,-1.6004467,0.8812195
xUPYc411duE,Philippines Madrigal Singers IZAR EDERAK,4,-0.85182196,1.4777164
7DbQ0qmSrIc,CEBU,4,-1.6646475,1.5023874
ydk4GIjo4cU,Pinoy UNBELIEVABLE TASTY,4,0.17331381,2.1126714
g9c_LPCjA4Y,Fill the Blank,4,-1.0460382,1.4130889
O51QHb7QnRc,Vocal Coach REACTS,4,-0.9919965,1.3278313
ZvEL7DCJs5k,IN BETWEEN sa pagitan ng kamusta at paalam,4,-0.25069174,1.1834462
13wZEXCrprY,Hello,4,-1.3678092,0.8161534
YhVy0eZdUb8,Buon giorno,4,-2.0067122,1.1345422
SbdM8xETci4,Palawan Philippines APULIT Resort Tour,4,-1.4844143,3.6357272
c64OjV9lNvw,Bicolandia-Express!,4,-0.7629848,3.3486109
i73vBiLo2PA,Bicl Express,4,-1.8959113,3.5049715
aiF84sKG90U,First Time BOHOL,4,-1.2854953,1.1176543
IMM_kPrs1KY,VS,4,-1.2801331,1.2315885
d3dRw-098OQ,Queenstown,4,-1.761624,0.62295943
7Ud67OkzpQs,Mall of Asia,4,-1.4265703,2.9489079
P0XVeUTSHWw,PART 98,4,-1.5277313,1.9940766
AJ1dWqy_rws,NEW YORK 1991,4,-1.069517,1.4210008
vk7_uI-V_9I,Filipinos losing face,4,-1.6676298,2.2792337
L_h9HRJ79-E,Filipino Foods In Blindfolded,4,-1.5650009,2.2755418
N7UQv3UImGA,Pinagpinanamamagaspasan???? Nakakapagpabagabag Korean try Hardest Tagalog pronunciation Nagsisisiusyosoahan,4,-1.6489251,1.9848068
CProayVgLIE,Living Abroad,4,-2.2441206,0.7022543
4OSt6WQ2K8A,New Couple in the Philippines,4,-2.148497,1.7802758
DhpouIFVLIU,Chicken and Pork ADOBO As per request,4,-0.9921208,1.0814227
2qgmxrekr0g,BBQ Chick,4,-1.6060135,2.3343828
vGj44tTlVIs,Why Filipinos don't hate Japan the way Koreans do,4,-0.6141083,2.6134415
OUCbGaYIWfg,Korean guys Planning a travel to Philippines,4,-1.4561571,1.9171654
nGhFWhfZKpM,Jollibee,4,-2.8278973,0.74232054
aIOMYGTHqqA,$1 $15,4,-1.2026229,1.8726795
DHNrVmGb_Us,Bicl Express w Pork Belly,4,-1.602125,2.1997843
Abq7F6HGIX8,$$$$$,4,-2.0711236,-0.9328722
slOnKFQc__Y,PARADISE ON EARTH Adventure Vlog,4,-0.15582499,1.5859295
ftwXLK-RYvQ,Vocal Coach O HOLY NIGHT Moira Dela Torre,4,-0.28967765,0.9035075
Zoo8qhijf5Y,SUGBO MERCADO weekend food market,4,-1.0792295,1.8054495
tDmrvUEqcnQ,Episode 4 Welcome to Manila!,4,-0.11941901,3.2204945
Mvjmt7bfpjM,Philippine Ninja???,4,-1.3403084,3.1511827
oNsQS9n2CFI,rees,4,-2.0865269,1.6567297
3fPIsGv3eik,Jollibee 100% Beefy CHAMP Chicken a la King Pie Peach Mango Pie Other Pie Buko,4,-0.92892045,2.0718727
5coE3hlNJ3I,5 Top Benefits of Marrying Pinay!,4,-0.21711995,2.9174612
zem70-C1JaI,EP10,4,-1.4790509,1.1490949
dOYkqc9ec1I,What I Like And Don't Like About the Philippines as an American,4,-1.697426,2.0236282
qKfeGCqI1Nk,ft.,4,-2.835493,1.6184385
AwD4OYyEOUA,From PH Medical Coder To NZ Clinical Coder,4,-0.99861586,2.1210966
E35_9w4SyWk,Meeting Whang Od,4,-1.3964711,1.5048379
HKAqIj-Z9ts,incredible.,4,-0.72025377,1.890351
0yqdgfLWhpM,Immoral Behavior Foreigner Told By Philippines Local Authorities They Would Arrest Him Angeles City Philippines,4,-1.3164179,1.6292621
MIiVqUYh_eo,Jollibee,4,-2.8278973,0.74232054
TmgLhC31C1o,34-10,4,-2.2567146,0.84484565
0mDJwB6DLvg,Macale & TEAM ALEX,4,-1.1582887,1.2669969
BvIL0PWj5_A,Epic Journey Across the Philippines,4,-2.144839,1.7811825
O4W9GKQlX7c,Laugh & Stack Open Mic howdown,4,-1.8862617,1.8586084
aSvGcCDoVt0,Let's Party,4,-0.5929348,2.9811401
6XyGH06X2aY,The beautiful struggles,4,-1.1597111,1.8966597
u9lyT0XBuOw,Jollibee Mukbang,4,-1.8407111,1.4723971
OZ7FYacpq7w,OSTATNIA TAKA AKCJA 500 PACZEK!,4,-0.12508854,2.3259592
_HSQsi3Ol-Q,7 Filipino Values Filipinos should be proud of this!!,4,-0.50894445,3.4349225
giuIZyBvR78,Top 5 Filipino Foods,4,-1.2702183,2.1695654
-1B7cVoZr1c,Light Reaction Regiment,4,-1.7201413,2.7891793
MttG7NB1ilk,Red Velvet Bad Boy,4,-1.4211944,1.8767648
T2dRUFTgLCk,RICH N CREAMY! Pinoy,4,-0.3363372,4.0520916
3hc7N_uOHdw,McDonald's Jollibee,4,-1.760767,0.8850682
YJpqmd1FM_8,What!? Japanese Reaction,4,-0.48105818,1.8012844
EF5hPPSj5ik,Filipino Snacks II,4,-1.2271564,2.9131413
PPeHtj9A9uA,"60 Second Vacations Moalboal, Philippines",4,-1.110926,2.0284631
Mg58cqXP4q4,Filipinos are...,4,-0.49251723,2.9745417
LyiAFZFC0NI,Mexico Airport transit NO,4,-1.5350202,1.5559552
m5YtJQLW_Jg,5 Reasons Japaneseshouldn't come to the Philippines,4,-0.96206224,1.3827983
IhQx_G2Dv6E,Trying Pig Brain for the first time,4,-2.4126818,1.4021603
pluh28qwVSU,Calamansi Juice?!,4,-0.6095522,3.5892286
5oZQfIs_-8s,Dinuguan Pork Blood Stew,4,-2.1354868,1.714636
RupvFbi5e2s,Japanese Reaction,4,-1.5439539,1.7533033
yR6a9-ufsZc,Chowking,4,-2.0810275,2.4659123
MtDCFSc2leg,Air Philippines,4,-1.4188741,2.2620063
D31_n-pcFTo,FILIPINO SISIG SANDWICH with Korean spicy sauce,4,0.05085625,0.81477714
ATurpKuYqg4,MALASAKIT Help Desk,4,-1.2039601,0.93560326
_YzEYbX8Ju0,Guess The Flag,4,-1.4782994,2.241279
CdQ1PfaRd7k,Filipino Horror Stories,4,-1.933971,2.8046112
nJ0ZeFQoyOY,Moalboal Philippines,4,-2.354091,2.7307923
g9lf5YyB4Nc,Dubai EP03,4,-1.5735501,2.145197
erI3UulSmSw,Street food Philippines,4,-1.7862731,2.6867683
GAsowcnp9Es,Chinito,4,-2.225738,1.5470778
VOSLLD1EPuY,We are pregnant,4,-1.2311692,1.1351994
pgyCi7W-gbg,Philippines Special Forces fighting ISIS,4,-2.207074,0.20661506
qGs-DWaJS3I,Trying Halo Halo For the First Time! Meeting Filipino Family,4,-1.507979,3.2900684
Vl_ApxUIAmE,Money PIT? Marker 44,4,-0.76332974,2.2052987
Kys4CbieqpU,WE DIDN'T EXPECT THIS! Foreigner 1st Time at Boracay Philippines,4,-1.7682991,1.7618728
3xy9jS1KwvY,Summer Capital Why is the Philippines So cold Philippines is so cold,4,-0.6455191,2.6549802
RqwT81VWcfs,Vice News HBO,4,-1.6254084,1.5603071
34VMEMaI3vw,Is the Philippines...?,4,-0.8381436,2.570014
3_ms_C3ElA0,Philippines Part 1 PALAWAN,4,-0.6713397,1.8934125
rGBo_Xr5JT8,Shimizu Philippines,4,-1.8289654,2.9458618
9t7JItsq3as,REACT Philippines,4,-0.92007536,1.8835849
oHznBlRBcPo,utive optic,4,-2.8145545,1.0992731
XOwJsnCILhw,Adobo w Pork Butt,4,-1.8536359,1.9204792
I3jdiRTbiRI,3 Key Reasons Why Filipinas Prefer Older Foreigners Wit aption,4,-0.36819795,2.013818
vWMLmmhyBFQ,Manila Cost of Living,4,-0.9687325,2.7160418
XIMQ5o2to_s,Bella Poarch?! Japanese Reaction,4,-0.596379,2.7543833
GYEAvNO1afo,Ang Bagong MAYNILA!,4,-0.17779587,4.0321927
JM14c0yL29I,Special Guest in the Philippines ?!,4,-0.35120687,3.715741
hp6WBMNS9p8,Snacks Haul,4,-1.8222519,2.0390077
Py_ZJ5q-MFo,wp,4,-1.4931082,0.8029539
vJs4hZVbcEs,ohn Wedd,4,-1.8364515,1.1380035
ZEVLabGmE9w,Zark's Burgers,4,-1.3159716,2.2355256
-fWzHd63UCA,VS,4,-1.2801331,1.2315885
PiHKh6UGumg,Swimming in the Pinatubo Crater lake,4,-1.6501231,1.6305596
y6yrAADHdog,BAGANGA Philippines,4,-0.6353083,2.837864
U998QOM02GY,Is It More Fun In The Philippines?,4,-0.4136552,3.9206843
LmBtqFkvIn0,hiho,4,-1.7082764,0.27016246
T7O2EwCKjrE,a day in my life the Philippines,4,-0.78009456,2.003211
lylnNLNNcbA,singer and ...rapper?,4,-1.9259849,2.3610547
tgzwr7hOgK4,Happy Easter,4,-1.4242635,2.1288195
ZWGDjgZ76q8,Nanalo ako sa palaro nakakatuwa naman May nakausap from Google support na Agent anong sabi? Na freeze yata ang revenue ko Hindi nag a-update,4,-1.6371526,1.2798843
bH_TiXuz5ng,w Make it stop... Moan,4,-0.33578014,1.5718973
Fr9KGPq93Fw,Island Pacific Seafood Market OK4KIDSTV,4,-1.2475436,2.6526024
bfn9tndD9iM,15PHP???,4,-1.1991724,1.3677758
XMPOW5DS71Q,Beef Tongue w Creamy Butter Garlic Sauce,4,-2.0207877,1.7018517
o56PwyvyeaQ,TikTok risy.juls,4,-0.9840481,1.4076977
TVO3aqHMPYk,Korean Guys Travel in CEBU,4,-1.2679017,1.677435
Fl-SivJGwiU,First time trying Filipino food vlog,4,-1.6942132,2.8706577
Q5xvaryTpXM,Philippines... you are incredible!,4,-0.4581879,3.3184476
5eoPZMtIUBw,2 12 ... !?,4,-1.6256877,0.8787041
NBndpEzd9CI,Filipino Foods You Have Got to Try!,4,-1.0989779,3.3129013
72FTaFoM3Dk,Ron-Ron Heart DeChavez,4,-1.2863466,2.2585855
2g63ty8ySoM,"Sunday Worship Service April 4, 2021 welcome To Our Online GUESTS We are glad you're here!!!",4,0.17107126,2.769397
VUg23n16wuU,VS,4,-1.2801331,1.2315885
JRzVGCUDuC0,"BBQ & serving hundreds of satisfitemers daily You, Con Foodie MomnDH Foodie Momma PH",4,-0.63236344,1.5982296
BTkkdlCE-7c,Vegetable Lumpia w Ground Pork & Shrimp,4,-2.3214953,2.0136347
8baHlJrFQ4w,It's more fun in The Philippines,4,-0.8652316,3.0731442
y-cb3qVBDb8,helpful tips,4,-1.2016053,2.583943
7i9At3fld3Q,"Explore Malcapuya Island Coron, Palawan",4,-2.3240728,1.7883316
3x5rJk4R4gE,Philippines,4,-1.9214334,2.782858
s2OEykrNIhw,Top things to do in CEBU,4,-0.40024585,1.9251124
mpDjtthov0E,Japanese Reaction,4,-1.5439539,1.7533033
5PT1wLx87UE,Unboxing Filipino Food,4,-1.3072473,2.9679356
v2vBaW9CmRw,Hubby tried Filipino Junkfoods for the first time,4,-1.0577526,2.4861102
_eGxfDkte9Y,ISIS,4,-1.483124,1.2487738
ghVDPDJQOo4,Land of the Best Singers in the World The Philippines Female Category,4,-1.8830186,2.4564464
oDw3zpHDS3w,FoodieV,4,-1.5143276,2.6052847
1yG9Kki_BNg,MANILA First Impressions,4,-0.6570534,0.80489326
PDh5AU4ciFk,Nervous laugh,4,-0.50947934,0.9117421
OB_ee9rPkGA,new Day,4,-2.436122,2.130678
J4dz7tiXNEc,More countries need to do the same,4,-0.5049828,2.64105
P_BHc5TDk1Q,Oh My God.. This will be my new Pajamas,4,-0.39048973,0.86101747
qfbf05K7iZo,challenge?,4,-1.2231741,2.7621753
IkSQHSccOrw,Age Gap 40 years,4,-0.811119,2.9818616
ED9vNES6L9o,SEXY Filipino Actresses,4,-1.0620394,3.374201
YtZKFFtX-G0,Best Place PHILIPPINES,4,-0.47501796,1.2713892
ricDgJt5sCQ,?,4,-1.5899372,1.7090701
nM8VDXb7Qog,I came here for Korean foods lang.. The stupidest Korean tourist in the Philippines,4,-0.7035855,1.6920013
DFX3IvmoO18,Sarah G wins Best Asian Artist at K-pop awards,4,-2.0188498,1.547595
ZXJ1Ebsux4g,14 Reasons the Philippines Is Different from the Rest of the World,4,-0.9078553,2.3600786
vpGYmk0kg1E,Corned Beef Filipino Style,4,-1.466664,2.8932743
