VideoID,Yellow,Orange,Red,Violet,Blue,Green,Black,White,Brown,Cluster
--8n6A8Q6M0.jpg,0.0,0.71,0.0,23.29,0.06,0.0,13.58,13.01,49.35,1
-0FfyNZdHk0.jpg,0.01,0.97,0.0,11.65,0.0,8.13,26.25,13.26,39.73,5
-1B7cVoZr1c.jpg,0.84,0.61,0.0,16.56,7.08,0.0,14.65,32.05,28.21,2
-4yu_13EHFM.jpg,0.0,8.72,0.0,25.99,0.0,0.0,14.83,10.53,39.93,1
-6FvAU9H98w.jpg,0.11,10.24,0.7,6.79,0.04,0.0,12.74,39.01,30.37,2
-7vF5F-1btE.jpg,0.64,2.76,1.08,22.39,14.17,0.0,16.9,11.52,30.54,3
-9ACKA4sQ4U.jpg,0.0,5.48,0.0,5.1,0.0,0.0,30.14,23.86,35.42,1
-9hDaG3nJwg.jpg,0.06,0.51,0.0,6.31,0.05,0.0,64.87,12.81,15.39,6
-fWzHd63UCA.jpg,0.25,1.84,0.0,11.64,0.0,0.0,44.48,9.39,32.4,6
-GVbt3qdq70.jpg,0.0,1.78,0.09,14.24,0.28,0.09,33.25,2.88,47.39,1
-JTkbbE_KP4.jpg,0.25,8.82,0.0,18.27,0.45,0.0,9.52,4.28,58.41,1
-NkPxyvAqzA.jpg,0.08,15.63,0.0,14.9,5.28,0.0,13.01,17.08,34.02,0
-tg0rduTy7c.jpg,1.14,1.26,0.14,28.26,0.25,0.0,3.96,15.14,49.85,1
-U5-r29G-t0.jpg,0.18,1.02,0.03,13.97,5.15,0.03,34.62,15.66,29.34,6
-uj2svY5754.jpg,2.33,2.55,0.18,28.3,14.27,0.0,14.96,8.72,28.69,7
-WaDvcu7mcw.jpg,0.0,0.36,0.02,8.14,0.0,0.04,71.12,0.91,19.41,6
-XCc67Ijcz8.jpg,3.08,12.32,0.0,18.01,0.67,0.0,26.33,14.85,24.74,0
-Ya6eSQ3wng.jpg,0.16,2.22,0.0,24.64,0.58,0.0,24.68,10.58,37.14,1
-_E2KyNAvqg.jpg,0.0,3.01,0.0,30.14,6.32,0.0,18.87,9.8,31.86,7
008Fi25LbKY.jpg,0.0,4.66,0.8,31.71,1.13,1.64,14.9,7.69,37.47,7
00qBuhJeG-o.jpg,0.0,5.15,0.0,11.44,0.0,0.0,16.97,26.45,39.99,1
01CgNpWKero.jpg,0.0,3.14,0.23,16.78,1.85,1.02,24.47,21.6,30.91,2
026urE67c8c.jpg,0.09,1.63,0.0,22.34,1.54,0.0,26.37,5.19,42.84,1
06hhcGs3J88.jpg,0.02,0.61,0.0,26.63,0.19,0.0,27.77,9.84,34.94,7
06YeEjVLC0E.jpg,0.0,1.69,0.0,16.37,0.0,0.0,30.65,5.17,46.12,1
09HUMZrCH3A.jpg,0.0,4.18,0.0,18.32,0.0,0.0,34.69,5.89,36.92,1
0AuL6FQR3HE.jpg,0.0,0.55,42.89,14.0,0.02,0.0,19.67,5.4,17.47,4
0ax6XooGykc.jpg,0.0,5.06,0.0,15.67,0.95,0.38,15.53,18.53,43.88,1
0Cj35oMbb9Q.jpg,0.09,0.03,0.0,35.6,8.56,0.0,17.58,6.13,32.01,7
0e2__WsRZdg.jpg,3.25,3.56,0.07,30.3,0.18,0.2,12.6,11.91,37.93,7
0E4c8VDmUTk.jpg,1.76,1.4,0.0,25.82,0.16,0.0,26.51,8.47,35.88,7
0ENcrVkHwBY.jpg,0.23,0.92,0.06,17.92,4.8,2.01,20.48,13.18,40.4,1
0eTmLcoLe9s.jpg,14.78,12.64,0.73,17.0,0.6,0.0,0.56,41.66,12.03,8
0f3m80ZA8BM.jpg,1.29,1.74,0.0,11.27,8.96,0.0,13.54,9.48,53.72,1
0G5jfRhHsqg.jpg,0.09,0.11,0.0,7.14,16.07,2.51,42.51,10.69,20.88,6
0GVD-9hxk_s.jpg,7.36,2.6,0.0,31.71,0.86,5.11,10.36,23.06,18.94,8
0hjnu1Hjbo4.jpg,0.05,0.67,0.08,32.85,8.24,0.0,13.74,5.86,38.51,7
0icIUe7SCcQ.jpg,0.07,3.67,0.0,14.72,1.75,0.04,39.51,6.16,34.08,6
0ifwCzzCdvc.jpg,0.96,20.14,1.51,13.17,0.0,0.0,4.77,15.12,44.33,0
0IJm5TFpldU.jpg,0.0,0.15,0.0,34.26,0.0,0.0,17.03,5.26,43.3,7
0IMWasj76yU.jpg,0.01,0.14,0.02,6.2,0.28,0.0,75.64,1.06,16.65,6
0iNlBNR9PGE.jpg,0.0,0.0,0.0,17.44,23.15,12.73,34.95,8.8,2.93,5
0i_ZIWC0c1M.jpg,1.68,3.62,0.09,28.66,1.59,0.0,17.53,10.33,36.5,7
0JiN_E6wK-E.jpg,0.1,7.28,0.0,29.29,4.42,0.0,17.87,13.92,27.12,7
0KOXxVJx0sk.jpg,0.3,0.52,1.3,15.68,3.79,0.0,47.69,5.37,25.35,6
0KyvSgEO6Fc.jpg,0.24,0.48,0.0,26.42,22.72,0.0,15.77,19.53,14.84,3
0mDJwB6DLvg.jpg,0.0,0.24,0.0,33.7,0.0,0.01,17.59,13.75,34.71,7
0Mnau-zACiE.jpg,0.04,9.36,0.14,30.15,8.15,1.14,8.93,15.86,26.23,7
0nRXbv67-4M.jpg,4.39,1.7,1.0,20.83,2.02,0.0,16.24,13.53,40.29,1
0nVPBJnjzeI.jpg,1.81,6.96,0.0,26.99,2.77,0.48,14.68,10.68,35.63,7
0O2i843tdU4.jpg,0.0,1.44,0.0,22.11,0.01,0.0,20.33,7.49,48.62,1
0o5lQ6LZ4rI.jpg,0.01,20.32,0.0,14.05,0.0,0.0,29.67,1.49,34.46,0
0qIhFhM6eKw.jpg,1.02,3.78,0.0,19.9,2.97,10.19,11.11,6.74,44.29,5
0Qr12Zerphs.jpg,1.98,2.57,0.0,16.16,4.82,0.37,13.7,27.37,33.03,2
0r-T21BKkMk.jpg,1.07,1.93,0.0,16.59,1.19,0.0,29.96,9.92,39.34,1
0r3rU0ipuiQ.jpg,0.0,0.4,0.0,13.83,0.25,0.0,29.19,16.55,39.78,1
0Rge7nN8wss.jpg,0.28,8.72,0.0,12.61,1.62,1.09,27.15,6.76,41.77,1
0rqsRvyIvIc.jpg,0.93,3.75,0.0,11.02,63.23,0.0,12.61,1.45,7.01,3
0s6stvGVAEk.jpg,0.0,10.02,0.0,11.78,0.0,0.0,29.09,15.81,33.3,0
0SlWsnwIWN4.jpg,0.47,0.91,2.2,8.22,0.01,0.0,32.97,22.09,33.13,1
0UDH4y28YVQ.jpg,5.6,2.35,0.0,18.62,37.43,0.0,5.81,15.99,14.2,3
0UFz5YQk8o0.jpg,0.0,5.31,0.0,22.91,0.0,0.0,18.86,7.44,45.48,1
0uJu9JkxNwI.jpg,0.1,16.18,0.24,9.59,0.0,0.0,25.26,8.3,40.33,0
0yqdgfLWhpM.jpg,1.69,5.11,0.0,10.96,1.93,0.27,41.38,1.83,36.83,6
0zkiGw4F5Pw.jpg,0.0,2.39,0.0,40.8,0.0,0.0,20.04,0.56,36.21,7
0zyiBgLpoeE.jpg,0.0,6.19,0.27,16.49,2.55,0.0,7.39,24.42,42.69,1
0z_UIEHwskI.jpg,8.43,7.65,1.29,18.44,1.81,0.23,18.65,8.01,35.49,8
0_6HMZjStiQ.jpg,1.73,4.01,0.0,20.86,2.49,0.0,12.74,6.23,51.94,1
0_pTnqziRqo.jpg,0.39,2.51,1.24,21.48,0.89,0.0,23.63,1.44,48.42,1
1-4pxMY9rq8.jpg,0.0,0.0,0.0,7.77,6.75,0.0,42.69,0.36,42.43,6
1-b2aT0of_Y.jpg,0.39,2.78,0.18,10.13,0.16,0.0,60.26,1.89,24.21,6
1-m9KLTaeaI.jpg,1.4,4.47,0.3,9.33,2.15,5.52,37.28,9.74,29.81,6
12cGM8Quszs.jpg,1.82,10.79,3.17,15.64,1.22,0.0,29.15,11.27,26.94,0
12t-wjHSq5c.jpg,0.29,5.77,1.96,20.72,8.97,0.69,6.84,22.73,32.03,2
13wZEXCrprY.jpg,0.01,0.12,0.0,4.35,0.0,0.0,60.27,2.82,32.43,6
15O6Q7JINkE.jpg,2.21,2.09,0.0,23.1,2.33,0.0,36.89,11.97,21.41,6
160z2kH-pfQ.jpg,0.0,2.19,0.0,16.62,0.29,0.0,24.2,3.45,53.25,1
16GQKjDDrXM.jpg,0.0,12.15,0.0,56.55,3.77,0.0,10.07,3.52,13.94,7
17JEASUW0zI.jpg,0.01,1.01,0.0,22.89,0.0,0.0,15.11,8.25,52.73,1
18Iluqov9Xk.jpg,0.1,1.38,0.0,60.34,0.0,0.0,7.54,7.05,23.59,7
18oXZbC_RYI.jpg,0.0,1.16,0.0,29.38,4.62,0.0,16.82,21.93,26.09,7
196oXdYgBEs.jpg,0.0,0.72,2.01,3.25,2.41,0.0,45.17,0.57,45.87,6
1aZ4UYjlHEA.jpg,0.13,0.21,0.0,20.28,0.12,0.33,38.81,22.54,17.58,6
1C753eMNsKg.jpg,1.89,2.03,0.0,24.53,0.15,0.0,19.57,6.76,45.07,1
1Ccsgr9T69Q.jpg,0.07,0.17,0.0,28.16,12.62,0.0,6.22,33.11,19.65,2
1D9m0RkEwTg.jpg,3.33,8.22,0.0,21.42,4.88,0.0,20.25,12.38,29.52,0
1e0Aed3Xx2c.jpg,0.0,4.55,2.31,14.62,0.13,0.0,50.58,0.97,26.84,6
1FJE4khqN8c.jpg,3.14,10.94,2.12,23.83,0.76,0.0,18.02,15.64,25.55,0
1GHM1QQDSrI.jpg,1.89,18.06,1.19,5.64,0.84,0.0,28.74,1.31,42.33,0
1HEOo6a91yY.jpg,0.17,2.63,5.77,14.18,7.31,0.0,9.21,14.91,45.82,1
1kErCqgIVMk.jpg,0.0,0.08,0.0,29.38,13.6,0.0,15.15,9.34,32.45,7
1Kgct3YJoJU.jpg,0.0,4.94,0.0,26.8,0.01,0.0,10.34,9.04,48.87,1
1MCRXw7u1qs.jpg,7.02,3.48,0.0,11.08,10.9,5.87,25.29,8.46,27.9,8
1o_Zw6LbLnU.jpg,3.91,3.16,0.0,17.23,2.27,0.06,34.94,2.65,35.78,1
1qa9wW9Qghs.jpg,0.0,1.49,0.0,14.14,1.15,1.99,13.75,19.76,47.72,1
1qe4A4gGhIA.jpg,12.29,3.08,0.0,28.26,4.03,0.05,7.74,22.58,21.97,8
1QHRFZwKSMw.jpg,0.0,0.17,0.02,20.9,0.91,0.11,37.34,4.75,35.8,1
1qvAJGZYr3E.jpg,0.0,0.5,0.0,33.47,0.0,0.0,20.4,6.96,38.67,7
1REnqKrSTls.jpg,0.0,0.87,0.0,19.55,1.01,0.08,29.21,15.71,33.57,1
1rlXGI3NnTU.jpg,0.06,5.16,1.71,21.61,1.76,0.0,22.16,15.6,31.94,7
1Ucsm6J24Us.jpg,4.78,3.02,1.47,35.06,0.0,0.0,9.94,11.77,33.96,7
1yG9Kki_BNg.jpg,0.04,6.38,0.0,16.52,0.96,0.0,39.88,1.52,34.7,6
1YXmTTKljwk.jpg,0.0,0.41,0.04,21.09,30.66,0.04,7.97,25.1,14.69,3
20SwObTtOB8.jpg,0.0,1.54,0.14,5.23,0.22,0.08,68.92,1.13,22.74,6
227xidPFDng.jpg,0.08,2.32,1.7,23.42,0.02,0.01,25.5,4.25,42.7,1
23cDngtz2Mo.jpg,0.02,1.49,0.0,18.02,6.95,0.0,30.21,13.59,29.72,1
23GlZtU6eVY.jpg,0.0,0.0,0.0,36.09,0.3,0.01,27.29,10.41,25.9,7
23GYjckuz9E.jpg,2.58,2.42,1.77,5.18,0.0,0.24,29.79,2.34,55.68,1
23L8K7nOG_c.jpg,0.0,0.0,0.0,18.23,0.02,0.0,64.63,10.02,7.1,6
255FPlIIomg.jpg,2.79,4.23,0.28,35.99,0.9,0.0,20.43,12.73,22.65,7
27DfJdlizR8.jpg,0.0,0.07,0.0,26.39,0.33,0.0,19.23,14.01,39.97,7
27yofdZnH9s.jpg,0.0,1.54,0.0,22.57,0.0,0.0,33.82,2.59,39.48,1
28K1KJwvuBI.jpg,0.0,1.53,0.0,2.38,0.0,0.0,83.01,0.42,12.66,6
2cj-ZOqXn0s.jpg,3.43,1.29,2.95,36.1,0.46,0.0,27.65,11.64,16.48,7
2CLpCOnn-tk.jpg,0.0,6.16,0.0,28.29,0.0,0.0,8.35,9.3,47.9,1
