VideoID,Yellow,Orange,Red,Violet,Blue,Green,Black,White,Brown,Cluster,View Count,Like Count,Comment Count,Channel Title,Channel_Weight
--8n6A8Q6M0,0.0,0.71,0.0,23.29,0.06,0.0,13.58,13.01,49.35,1,338385,11044,1371,Travel with Luke Damant,0.0003483536485884371
-0FfyNZdHk0,0.01,0.97,0.0,11.65,0.0,8.13,26.25,13.26,39.73,5,147,4,1,Learn with Daryll,0.0020901218915306227
-1B7cVoZr1c,0.84,0.61,0.0,16.56,7.08,0.0,14.65,32.05,28.21,2,150876,3011,225,Combat Arms Channel,0.0010450609457653113
-4yu_13EHFM,0.0,8.72,0.0,25.99,0.0,0.0,14.83,10.53,39.93,1,28277,1158,381,Chasing Kimberly,0.0005225304728826557
-6FvAU9H98w,0.11,10.24,0.7,6.79,0.04,0.0,12.74,39.01,30.37,2,63409,1277,110,Paolo fromTOKYO,0.00041802437830612457
-7vF5F-1btE,0.64,2.76,1.08,22.39,14.17,0.0,16.9,11.52,30.54,3,87790,4502,177,Pinoy Planet,4.644715314512495e-05
-9ACKA4sQ4U,0.0,5.48,0.0,5.1,0.0,0.0,30.14,23.86,35.42,1,162,0,0,🌻Mama Mia's Foodtrip🌻,0.0020901218915306227
-9hDaG3nJwg,0.06,0.51,0.0,6.31,0.05,0.0,64.87,12.81,15.39,6,760108,33245,1568,JREKML,0.0002458966931212497
-fWzHd63UCA,0.25,1.84,0.0,11.64,0.0,0.0,44.48,9.39,32.4,6,474195,11212,1279,The Commodity,8.038930352040857e-05
-GVbt3qdq70,0.0,1.78,0.09,14.24,0.28,0.09,33.25,2.88,47.39,1,306703,9252,319,Waleska Herrera,2.7501603835929242e-05
-JTkbbE_KP4,0.25,8.82,0.0,18.27,0.45,0.0,9.52,4.28,58.41,1,120938,2386,197,T HUBS 22,0.0013934145943537484
-NkPxyvAqzA,0.08,15.63,0.0,14.9,5.28,0.0,13.01,17.08,34.02,0,560813,16375,328,Lifey,0.0006967072971768742
-tg0rduTy7c,1.14,1.26,0.14,28.26,0.25,0.0,3.96,15.14,49.85,1,441139,7023,634,Adam and Jane's Lifestyle,8.708841214710928e-05
-U5-r29G-t0,0.18,1.02,0.03,13.97,5.15,0.03,34.62,15.66,29.34,6,13852,493,66,The Manifested Family,0.0013934145943537484
-uj2svY5754,2.33,2.55,0.18,28.3,14.27,0.0,14.96,8.72,28.69,7,85800,2787,279,Adam and Jane's Lifestyle,8.708841214710928e-05
-WaDvcu7mcw,0.0,0.36,0.02,8.14,0.0,0.04,71.12,0.91,19.41,6,123482,4555,156,Travel Escapes,0.0005225304728826557
-XCc67Ijcz8,3.08,12.32,0.0,18.01,0.67,0.0,26.33,14.85,24.74,0,1662516,69420,6889,Music Game News,0.00011000641534371697
-Ya6eSQ3wng,0.16,2.22,0.0,24.64,0.58,0.0,24.68,10.58,37.14,1,18560,1301,54,JUICY REACTS,0.00016720975132244982
-_E2KyNAvqg,0.0,3.01,0.0,30.14,6.32,0.0,18.87,9.8,31.86,7,51420,2114,199,Waleska Herrera,2.7501603835929242e-05
008Fi25LbKY,0.0,4.66,0.8,31.71,1.13,1.64,14.9,7.69,37.47,7,38308,2288,204,Dodo Explorers,0.00026126523644132783
00qBuhJeG-o,0.0,5.15,0.0,11.44,0.0,0.0,16.97,26.45,39.99,1,36151,0,74,Mia Sandoval,0.0001492944208236159
01CgNpWKero,0.0,3.14,0.23,16.78,1.85,1.02,24.47,21.6,30.91,2,7772,258,26,TriFate Geo,8.19655643737499e-05
