VideoID,text_cleaned,cluster,x0_Bert-CLS,x1_Bert-CLS,View Count,Like Count,Comment Count,Channel Title,Channel_Weight
CUhaitHEAZE,,0,-6.4141536,-1.5952816,45402,1889,262,The Commodity,8.038930352040857e-05
MovIpxxyOlo,,0,-6.4141536,-1.5952816,5532347,83043,6984,Best Ever Food Review Show,0.0008360487566122491
vrwkd3W1lD0,,0,-6.4141536,-1.5952816,691411,31855,2486,Pinoy Planet,4.644715314512495e-05
6TiMvS0rE2I,,0,-6.4141536,-1.5952816,134338,0,328,Mia Sandoval,0.0001492944208236159
BUCANbJ9rZs,,0,-6.4141536,-1.5952816,588360,11737,883,HellthyJunkFood,0.0013934145943537484
uFJbwUDWwQ0,,0,-6.4141536,-1.5952816,122875,3691,329,Ken Abroad,0.00015482384381708316
4QMHfDx_LpM,,0,-6.4141536,-1.5952816,857756,53396,2176,JREKML,0.0002458966931212497
oBt--EcqJ24,,0,-6.4141536,-1.5952816,67,2,2,Geechee Lion's Journey,0.0020901218915306227
7NMm60VwNnU,,0,-6.4141536,-1.5952816,47148,2385,352,Harees Ameerali - Royal Sky Holidays,0.00046447153145124943
QeaR2b2l-n8,,0,-6.4141536,-1.5952816,52414,4027,349,TriFate Lifestyle,0.0002458966931212497
z-HStsCLZ9g,,0,-6.4141536,-1.5952816,534803,20315,1350,Beryl Shereshewsky,0.0002458966931212497
tLnvXS6NFaQ,,0,-6.4141536,-1.5952816,40064,832,142,Mike Still,0.0013934145943537484
j69a0yB08gs,,0,-6.4141536,-1.5952816,35212,3508,609,Мэри Джейн Филиппинка,0.0010450609457653113
4SOtYIJpO3w,,0,-6.4141536,-1.5952816,65505,1613,249,LifeBeyondTheSea - Philippines,0.0020901218915306227
T6p-4PGf-Cw,,0,-6.4141536,-1.5952816,80336,3377,1012,Dustin Backpacks,0.0006967072971768742
JyuDpnjCK_U,,0,-6.4141536,-1.5952816,49336,0,145,Mia Sandoval,0.0001492944208236159
3vouclvykqE,,0,-6.4141536,-1.5952816,26309,424,139,Democracy Now!,0.0013934145943537484
qGwibq3JTdI,,0,-6.4141536,-1.5952816,3377827,38360,2096,Mark Wiens,0.00041802437830612457
zud0s365CNY,,0,-6.4141536,-1.5952816,6673528,236319,5619,Joe HaTTab,0.0013934145943537484
naDhqgjtHp0,,0,-6.4141536,-1.5952816,81178,639,303,SYLEWO,0.0013934145943537484
HL1UJYugSA8,,0,-6.4141536,-1.5952816,206832,6946,940,Travel with Luke Damant,0.0003483536485884371
HuwWfuiI30I,,0,-6.4141536,-1.5952816,190815,4682,2070,Ken Abroad,0.00015482384381708316
bGpXVxq_7iU,,0,-6.4141536,-1.5952816,276334,22111,437,NOW UNITED,0.0002458966931212497
BKi1QTM3Rto,,0,-6.4141536,-1.5952816,9758,68,7,Elvie Lins,0.0008360487566122491
xZBccbBIV7U,,0,-6.4141536,-1.5952816,31772,1538,223,Alina Mcleod,0.0006967072971768742
TGZ46HAbePg,,0,-6.4141536,-1.5952816,1689,7,14,DR. ORFLI,0.0010450609457653113
5seK3IKQZDw,,0,-6.4141536,-1.5952816,404,17,3,FMA Discussion,0.0013934145943537484
Jw72XdBwhjQ,,0,-6.4141536,-1.5952824,271875,13456,1376,VI3ION,0.00019905922776482118
K05mhgf0Lj4,,0,-6.4141536,-1.5952816,174769,3714,476,D&J TV,0.0005971776832944636
glx5sAPxdvo,,0,-6.4141536,-1.5952816,153254,7152,706,TriFate Lifestyle,0.0002458966931212497
6qGkTAS3j5o,,0,-6.4141536,-1.5952816,488,6,1,TansDipas,0.0010450609457653113
Y8-4rbZnrIk,,0,-6.4141536,-1.5952816,31571028,729629,52180,NOW UNITED,0.0002458966931212497
S-5ZBnkdra8,,0,-6.4141536,-1.5952824,9080654,108116,0,TheEllenShow,0.0010450609457653113
MMOR5h6gS8s,,0,-6.4141536,-1.5952816,2024,141,33,Starone TV,0.0008360487566122491
ye9AqyZ9B84,,0,-6.4141536,-1.5952816,878544,21576,1471,otakoyakisoba,0.0005225304728826557
Fvs5JlRVEGE,,0,-6.4141536,-1.5952816,245969,7825,747,Travel with Luke Damant,0.0003483536485884371
xYmlSjp22wo,,0,-6.4141536,-1.5952816,9948367,181938,0,TheEllenShow,0.0010450609457653113
cwxu2dA5Dv4,,0,-6.4141536,-1.5952816,372488,14269,1921,Quang Tran,0.0013934145943537484
bj4tLSZnIqM,,0,-6.4141536,-1.5952816,232319,9023,1768,Pinoy Planet,4.644715314512495e-05
Y1zJSJiK2Mk,,0,-6.4141536,-1.5952816,36838,1319,110,VI3ION,0.00019905922776482118
YLPogsvk7ew,,0,-6.4141536,-1.5952816,1442,20,2,KCTS 9 | Cascade PBS,0.0020901218915306227
uBP6eCTV6ew,,0,-6.4141536,-1.5952816,214746,5471,539,Travel with Luke Damant,0.0003483536485884371
_iwYr_FG9f8,,0,-6.4141536,-1.5952816,398930,28874,1302,JREKML,0.0002458966931212497
xJqJLaox2Yw,,0,-6.4141536,-1.5952816,207326,6025,640,Travel with Luke Damant,0.0003483536485884371
--8n6A8Q6M0,,0,-6.4141536,-1.5952824,338385,11044,1371,Travel with Luke Damant,0.0003483536485884371
Dn014zuYJ8E,,0,-6.4141536,-1.5952816,46734585,706961,250337,NOW UNITED,0.0002458966931212497
A7oeGayicnc,,0,-6.4141536,-1.5952816,125,2,0,TansDipas,0.0010450609457653113
736HThq9YRM,,0,-6.4141536,-1.5952816,100123,6198,561,Pinoy Planet,4.644715314512495e-05
iTeW0PTPEwE,,0,-6.4141536,-1.5952816,131357,2742,342,Paolo fromTOKYO,0.00041802437830612457
wmCecoqwQXo,,0,-6.4141536,-1.5952816,9518,63,8,DR. ORFLI,0.0010450609457653113
rDwuNncdXkI,,0,-6.4141536,-1.5952816,65351,3290,250,Nadir On The Go,0.0005971776832944636
AEp-JC1jHvw,,0,-6.4141536,-1.5952816,4325,170,69,WonderFull Company,0.0010450609457653113
rL7THDp44bo,,0,-6.4141536,-1.5952816,74388,2221,285,The Commodity,8.038930352040857e-05
VccHOpKy06Q,,0,-6.4141536,-1.5952816,128318,2694,442,Harees Ameerali - Royal Sky Holidays,0.00046447153145124943
S9q3e8AL_-0,,0,-6.4141536,-1.5952816,372478,16521,820,JREKML,0.0002458966931212497
SqNw_SMrIQA,,0,-6.4141536,-1.5952816,11556,265,225,Democracy Now!,0.0013934145943537484
hgulTvzsAHk,,0,-6.4141536,-1.5952816,11010,338,99,OurSignedWorld,0.0020901218915306227
jxi7MHhur20,,0,-6.4141536,-1.5952816,62817,1153,274,Marco Roams,0.0013934145943537484
EUFTHTVyrEk,,0,-6.4141536,-1.5952816,7972,106,0,Tosa Dela Yaun,0.0010450609457653113
FqxdJ7XPB7U,,0,-6.4141536,-1.5952816,79789,2831,313,Ken Abroad,0.00015482384381708316
DFbN0VZLWKQ,,0,-6.4141536,-1.5952816,472633,37087,346,NOW UNITED,0.0002458966931212497
77NkGBRuapw,,0,-6.4141536,-1.5952816,122121,7426,803,Backpacking Gals,0.0020901218915306227
4RRAgEb5r7Q,,0,-6.4141536,-1.5952816,44,5,1,PH Rider Dave,0.0013934145943537484
uXjQAtBEuds,,0,-6.4141536,-1.5952824,1180213,22364,522,Comedy Central Stand-Up,0.0010450609457653113
cfgd4erLBL4,,0,-6.4141536,-1.5952824,435910,10472,1693,Dale Philip,0.00046447153145124943
-9ACKA4sQ4U,,0,-6.4141536,-1.5952816,162,0,0,🌻Mama Mia's Foodtrip🌻,0.0020901218915306227
it4RYgwYIDg,,0,-6.4141536,-1.5952816,32609,1391,133,Ken Abroad,0.00015482384381708316
kWXTPmPd_gk,,0,-6.4141536,-1.5952816,434740,11088,914,BACKPAEGER แบกเป้เกอร์,0.0013934145943537484
B5gs2MyCiRY,,0,-6.4141536,-1.5952816,604471,7470,1082,Myer Travels,0.0013934145943537484
a1Pd3XPaAuE,,0,-6.4141536,-1.5952816,1391869,45425,2725,Always Be Changing,0.0002985888416472318
tMWvqEKsldQ,,0,-6.4141536,-1.5952816,663253,19375,1041,Master of Voice,0.0013934145943537484
WPimWiBBrVY,,0,-6.4141536,-1.5952816,22636,981,36,Jeanelleats,0.0005971776832944636
KBckeRChNT4,,0,-6.4141536,-1.5952816,5340005,134059,20530,Xiaomanyc 小马在纽约,0.00027868291887074966
_jiVtXsfupo,,0,-6.4141536,-1.5952816,6654136,128964,0,TheEllenShow,0.0010450609457653113
lDkAhaR_cyA,,0,-6.4141536,-1.5952816,62030,3732,491,josie lifts things,0.0003215572140816343
eYvf1qMp5pQ,,0,-6.4141536,-1.5952816,262244,9957,1500,Mariah and Bill,0.0013934145943537484
ht-EU_RWPg0,,0,-6.4141536,-1.5952816,973378,28687,3006,Beryl Shereshewsky,0.0002458966931212497
CfCIaFiJPBs,,0,-6.4141536,-1.5952816,113569,3114,450,Ken Abroad,0.00015482384381708316
