cluster,Channel,Video Count
cluster 0,---,---
,Ken Abroad,13
,Pinoy Planet,12
,Beryl Shereshewsky,7
,BuzzFeedVideo,7
,Xiaomanyc 小马在纽约,7
,JREKML,6
,Mark Wiens,6
,NOW UNITED,6
,The Commodity,6
,Travel with Luke Damant,6
cluster 1,---,---
,Pinoy Planet,33
,Waleska Herrera,32
,Adam and Jane's Lifestyle,30
,Music Game News,25
,JUICY REACTS,20
,Mia Sandoval,13
,The Commodity,11
,The Juicy Vlog,10
,Always Be Changing,8
,Dodo Explorers,8
cluster 2,---,---
,Waleska Herrera,85
,The Garcia Family,26
,TriFate Geo,20
,Pinoy Planet,18
,The Love Train Nation,18
,The Commodity,15
,Adam and Jane's Lifestyle,14
,Justin & Alina,14
,The Demouchets REACT,13
,Aaron Around,11
cluster 3,---,---
,Waleska Herrera,28
,TriFate Geo,19
,Pinoy Planet,16
,The Commodity,9
,The Garcia Family,8
,Justin & Alina,6
,Ken Abroad,6
,Olivia Ortiz,6
,Brad Newton,5
,JREKML,5
cluster 4,---,---
,Nic & Rei,30
,KIM n LEE,19
,Pinoy Planet,10
,TPL Bianca,10
,The Commodity,10
,Japapino World ジャパピーノ,8
,Yoshi the Japanese Guy,8
,Katriinka,7
,VI3ION,6
,Waleska Herrera,6
