Video ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
dD048yYCWgY,FILIPINO ALCOHOL,IT BURNS!,,,,,,,,,,,,,,,,
MovIpxxyOlo,-,,,,,,,,,,,,,,,,,
V9VTB0TLMr8,-,,,,,,,,,,,,,,,,,
TeMYei9-L3I,HOW TO DRINK,RED HORSE,,,,,,,,,,,,,,,,
7YUatj_Uq6c,TOP 10,PLACES TO SEE,PHILIPPINES,,,,,,,,,,,,,,,
8vf1wrbar_0,-,,,,,,,,,,,,,,,,,
Q7teS12VJfg,ANGELICA HALE,,,,,,,,,,,,,,,,,
QG61j-coCgM,THE MIRACLE OF T16,ICONIC,ESPORTS MOMENTS,,,,,,,,,,,,,,,
A0iUMPH-unU,LOVE!!,,,,,,,,,,,,,,,,,
Jk3iWaFsSCo,AILA SANTOS,,,,,,,,,,,,,,,,,
X4HpxvL2dno,TUBA,PONG,,,,,,,,,,,,,,,,
VXjrCIcGZmw,-,,,,,,,,,,,,,,,,,
yDlT6kO1M8Q,OMG! KAKAI TWERKED!,,,,,,,,,,,,,,,,,
pCpGYiXBENo,PHILIPPINES,HOLDS THIS,RECORD!,,,,,,,,,,,,,,,
z9K8LE9lgqA,DAY 1,HEL,DAY 2,THE PEOPLE.,,,,,,,,,,,,,,
k1ZKMHbV9Ik,APO WHANG-OD,NEXT OF SKIN,THE BEAUTY ISSUE,,,,,,,,,,,,,,,
dADxYaNDATs,KOREANS,REACT,,,,,,,,,,,,,,,,
qZYbcytahDw,PATA,HAMONADO,,,,,,,,,,,,,,,,
TaedpHFzjt0,SHE SLAYED,BOTH ANTHEMS,,,,,,,,,,,,,,,,
fCmDShwW_xo,-,,,,,,,,,,,,,,,,,
n-878p2rLmA,-,,,,,,,,,,,,,,,,,
0MdmKnVutTI,AWESOMETHONY,,,,,,,,,,,,,,,,,
xZRoYIQP_oE,-,,,,,,,,,,,,,,,,,
7awq7hypyBE,AMAZING!,REACTION,,,,,,,,,,,,,,,,
ItbHw7WWijI,RETURN,OF THE,MARCOSES,,BBM USED SOCIAL MEDIA,EARLY!,,,,,,,,,,,,
lpO1wXhWsQA,HEADVOICE,AND FALSETTO,,,,,,,,,,,,,,,,
0CcaNf_2SlM,WORST,BEST,AUDITIONS,2018,REACTION,,,,,,,,,,,,,
ZadqGNSQwZU,ALJAZEERA,,,,,,,,,,,,,,,,,
LDg44DQZgVs,-,,,,,,,,,,,,,,,,,
wAPoZqC0sZ8,The Most Epic,Birthday Party,EVER !!!,,,,,,,,,,,,,,,
fUI2YiE993g,-,,,,,,,,,,,,,,,,,
-F6GwSrtXhM,-,,,,,,,,,,,,,,,,,
hTEgizPaodA,MAPA AT GRADUATION,,,,,,,,,,,,,,,,,
lAMofPlgUAM,MY KPOP CRUSH,,,,,,,,,,,,,,,,,
Xvrlv_SBckQ,-,,,,,,,,,,,,,,,,,
JGkhrd5j3Fo,OUR,FIRST TIME,,,,,,,,,,,,,,,,
nmUROqCb1eA,EUMEE CAPILE,THE FIRST NOEL,REACTION,,,,,,,,,,,,,,,
LJVZTzmf-Yk,WE'RE,MOVING,,,,,,,,,,,,,,,,
1vmjukAsKY0,IT IS,WHAT,IT IS,,,,,,,,,,,,,,,
krm9y3dkKzo,PHILIPPINES VLOG 08,~ PROJECT PEARLS CHARITY ~,,,,,,,,,,,,,,,,
Rp5fXhcEYhw,SUPER FIRE,NOODLES,,,,,,,,,,,,,,,,
hJSge12li-E,SLAYED IT,AS ALWAYS!,REACTION,,,,,,,,,,,,,,,
4QMHfDx_LpM,-,,,,,,,,,,,,,,,,,
Iz9Bg4PXps4,FOREIGNER REACTS TO,SINIGANG,BURRITO?!,,,,,,,,,,,,,,,
TwBPMtCMMrs,MEET THE DELEGATES,,,,,,,,,,,,,,,,,
JCNW2zZ2iGE,I have what?,,,,,,,,,,,,,,,,,
l9v3ShXJz7k,4TH IMPACT,"""DESPACITO""",,,,,,,,,,,,,,,,
vjgZ8p3uaI8,Sexy,Cave,,,,,,,,,,,,,,,,
pIDzPmE6DEM,PAULINE AGUPITAN,I BELIEVE,REACTION,,,,,,,,,,,,,,,
dEFz7GwU7bc,I Need Therapy after Miss Universe,VLOG #12,OMG!!,,,,,,,,,,,,,,,
P1jjgOtdaNY,IS THIS A FAIR VS?,,,,,,,,,,,,,,,,,
DeznyTvQELw,ALJAZEERA,,,,,,,,,,,,,,,,,
Ps40s2ivyyM,DON'T JUDGE A BOOK,BY ITS COVER!,,,,,,,,,,,,,,,,
S6tW0po5cd0,Philippines,,,,,,,,,,,,,,,,,
OhUslvK6utY,PHILIPPINES VLOG 04,TRYING JOLLIBEE FOR THE FIRST TIME,WITH A RED HORSE HANGOVER,,,,,,,,,,,,,,,
WeRckF-RPZk,BUSINESS CLASS,REVIEW,,,,,,,,,,,,,,,,
KPuSGay7OyI,PIECE OF CAKE,,,,,,,,,,,,,,,,,
Bm0ONlju0JA,-,,,,,,,,,,,,,,,,,
rZRqkLDUJMo,TRAVELING TO MANILA,ARE THE PHILIPPINES SAFE??,,,,,,,,,,,,,,,,
d1SaINo9yds,PLAYING,IN THE,RAIN,,,,,,,,,,,,,,,
0nSdV9DJwow,ON THE GROUND WITH U.S. FORCES IN THE PHILIPPINES,,,,,,,,,,,,,,,,,
rS_QqH2KwHc,ISABELA VINZON,THE VOICE TEENS,PHILIPPINES,FEELING GOOD,REACTION,,,,,,,,,,,,,
aW7yOQMKRFM,BRIGHT,SIDE,,,,,,,,,,,,,,,,
djAJLgU_ZN0,$10,,,,,,,,,,,,,,,,,
XkJTV_BftVQ,-,,,,,,,,,,,,,,,,,
fLylwsyWu1A,-,,,,,,,,,,,,,,,,,
JM86Os2voBY,SOUTH CHINA SEA,CONFRONTATION,,,,,,,,,,,,,,,,
ZJCBnHZ0YJI,VS,,,,,,,,,,,,,,,,,
bxiOExMMsQQ,-,,,,,,,,,,,,,,,,,
RVnVYl-vxfQ,Halo-Halo,Redemption!,,,,,,,,,,,,,,,,
pm4qMsyVH_E,BEAUTIFUL!,REACTION,,,,,,,,,,,,,,,,
_y9m3t-SzLk,-,,,,,,,,,,,,,,,,,
R6lFdNueJKI,-,,,,,,,,,,,,,,,,,
GKMc5e2XJWE,THEY'RE,WAITING,FOR ME TO,MESS UP,SERIOUSLY!?,,,,,,,,,,,,,
U8M3gShQxc0,PHILIPPINES VLOG 14,FIRST TIME IN TAGAYTAY,,,,,,,,,,,,,,,,
5y8dmtkJ_Ew,THE QUEEN!,,,,,,,,,,,,,,,,,
hqMU7Bs2BUY,ALJAZEERA,,,,,,,,,,,,,,,,,
ESJ0mDbConc,-,,,,,,,,,,,,,,,,,
dDm8iK13DZU,THEY'RE LEGIT!!!,REACTION,,,,,,,,,,,,,,,,
gMDArNX93tQ,Cause they'll catch you and give you a whippin',因为你会有危险,,,,,,,,,,,,,,,,
A-jW_nfBEq4,KYLA,,,,,,,,,,,,,,,,,
TujLaBe2jYI,SEASON 2,Philippines Teaser Trailer,,,,,,,,,,,,,,,,
