Video ID,View Count,Like Count,Comment Count
lZXDClzL8m8,4885706,75939,3507
XsWKvutlu8I,3545111,55237,1656
stMSVi5wI8k,3823803,67281,2274
b7HQU_--Qdw,596272,10125,831
zDwuJgLNJbc,4321745,74381,4734
4bIPofZpTxQ,922128,18318,929
7dRGee6bay8,2123464,39084,1330
HkosGBi4Ffg,683811,10519,846
7NylnDrB5SU,435426,8867,440
agXtngn7hyI,544337,0,889
B1l6AHEEri0,421313,7493,313
kCndgU796J8,1122934,19686,808
NrQnfWDQHCk,583384,10149,554
s4vIf9XfRwc,1872308,32771,1766
baEou7-0YY8,630311,9466,645
kQPI7qJWnAI,1209773,20812,1742
eU5SIUiPcfI,902620,15718,744
-83rdiEyMMY,1880020,27763,1286
v2bghI63d3w,890491,18234,1977
83jKeR_W4fY,282462,19327,1317
7ty7BCtC_VM,348186,4823,94
A3agoGmyAHw,473639,8451,951
h1GCmRbm-YY,360666,4785,161
4nZdJHjv5As,757692,10592,284
eUouFmegReQ,1060759,15777,959
KHYVLlfrlhQ,1115387,17088,718
S7h1GJ6Zuvk,750129,10577,613
CKIXGJtS36c,81170,1227,183
hFUzhd-R6GQ,61799,829,552
Z3laA-VUXyY,259461,5518,321
SlcVb1lfnI4,159081,1648,399
seJDnmDAAtw,220253,4520,521
Fmokc58ri-o,613628,8456,778
jiQqFANdx3U,1013154,14494,841
eOHzAYNyUAQ,458648,7921,283
shLl_K2MD6w,294880,4747,267
DhHY8EVKL2s,439792,7672,421
CSWCto8e2Ho,84646,3417,901
tNFG5RqMwJI,185516,4095,312
Q_XIao2HLUE,576917,9034,553
rS_QqH2KwHc,133515,1658,221
NUqTE93xw7w,155553,2592,230
pIDzPmE6DEM,366140,6748,455
7fFlTkr3oO4,398639,9003,567
yLZ8QTToQgo,742235,10318,578
D3wv2asOl1g,617477,10523,778
Z57Yi5IC__g,194491,3641,223
TX084JSd-1I,175108,3848,362
eZcP4R891Zo,620890,14289,664
6dY2ipl7DMk,185911,2161,836
PZMtxfmN5PE,1195901,20399,880
ZVEE0PmxHGM,502128,7754,660
o9tF8Rd1i-8,328250,7257,416
sqvrpyy21EA,131787,2376,399
m4HE0vBeSRg,315038,5638,291
t5ERhxnHXI4,331661,7064,229
Ktt6qBKLDl4,711719,13677,759
XJ7CE0s2d90,795038,15546,762
g2_na1p0d8s,298616,6567,0
xnektBuTaDs,286083,5453,412
hjdUxIhF0n8,165995,3238,147
zIlQii4Na7k,159062,3044,143
-Zq3kTQJnfs,324034,8890,676
3P4AEIny_T4,147959,3207,177
-HqYdiz61kc,130707,2790,244
sWhcVM43pvY,72830,1817,231
lpeANkYcvbY,106563,2725,198
Eie4aiXCVQc,19910,610,105
c-qb_XiEtKo,1862638,35308,2457
0CcaNf_2SlM,291565,4692,517
3YVgNbkEJUE,110451,2022,210
T4mg9UTnJIE,384282,7801,740
4kcgrmnNh4Q,82337,1515,797
jI7eN3GJwzM,443388,8786,1191
QCbu8iJNT_o,69785,2283,340
QKTGbpxUjno,410590,10150,559
kqYw9hDk4fA,85568,3433,325
vGQSmDUpjJo,86807,2897,346
8cnvAxGqx-U,732499,21703,1831
C3WooRrzdBY,441471,11003,914
uoDwu_ffpAE,82335,2510,0
uzrtfr0eVCw,85463,1679,237
OQz52FZQ2w4,42906,1414,164
rRxccUdkGq4,186413,6957,679
_8c8Vj_UROE,436819,10459,952
OzqhoC6UaxA,233909,7087,580
