Video ID,View Count,Like Count,Comment Count
Q-cEAhT2bUg,764438,14241,417
_8T7pBxJWxk,3600994,47347,1075
VgGSOG7YWxo,361257,7218,80
8-jrVHb6af4,1827067,26188,777
-zZw7zF4lSc,123012,2379,34
d1LUrsOU5M8,705782,11495,14
ex0PyS4qR44,82903,1442,98
QBvmc7POFYE,1034287,9767,272
Xm7kzBzXNzQ,816513,10183,290
OzfTQZVYKmY,3075115,33823,739
84LrMCGOFKU,782893,11921,543
Z5chRBbwkM8,1742410,19814,423
6KzL36MwUCA,557246,4964,175
igh6iitJaYo,637730,6332,189
7B3W6Tq54MU,345055,3390,119
GoK3GgqS9Ms,2444886,34032,763
_3NWiD2kWS4,4170610,55990,938
qZYbcytahDw,4279889,62212,843
mQmDRDuHKio,803028,11823,308
qRW08rRS2YE,546381,6092,254
6ZlLneOKPao,300047,3789,97
hrqp3z3F99g,4766072,65924,1479
Li8ixiIU_OU,920804,12767,280
STg0TVZXS7g,1922090,32687,786
pdS9hDBrzqE,2625092,44666,1342
fVpdPTTgGKo,3746096,44242,1199
E2uATy7iKkg,291529,4393,160
chrmFfxAkGo,4517901,53387,969
Z6RywLmpj3w,3459114,30568,808
YZfG-QIjvt0,93937,1562,86
bgNeOpg78uQ,291682,3954,141
8YMH46LLieo,347790,3824,119
maxZEnpH-2I,155813,2888,391
aKzp4x31O0I,601265,10436,421
chxpQV3_NtU,2254383,29065,515
vzDmvCANogU,1626286,24617,696
A_x6b3rsPKA,499701,5994,130
zVCUMZ03V6c,2780030,38171,1367
7Ism_fgcFxo,1003022,12890,336
wVTlSmOpMkM,3430776,0,1362
flWyIQJ13_Y,123408,0,71
8rk9mDqhWp4,278804,3124,97
cX-j7dzX8Qo,3598932,39065,524
GoQW90Rt06Y,3870014,50915,1528
-Cj7f90E3RU,3004227,23900,619
bdHJMtYcIpc,209746,3840,230
pewMESrly-o,434142,6692,414
N90og8QI4IQ,4796555,49910,866
aoc1_LwKaUg,2380903,21644,634
ThY66jHY-uI,1052040,16266,325
keP0IWdfS7M,3695255,39107,991
oRP2c10EBYY,4927867,79878,8042
OxtIR65xa68,751236,8760,628
k1fpYXqUNcU,601584,6053,221
