Video ID,text_cleaned,cluster,x0_Bert-CLS,x1_Bert-CLS
MovIpxxyOlo,,2,-6.403701,-0.84118426
V9VTB0TLMr8,,2,-6.403701,-0.8411859
8vf1wrbar_0,,2,-6.403701,-0.8411859
VXjrCIcGZmw,,2,-6.403701,-0.8411859
fCmDShwW_xo,,2,-6.403701,-0.8411859
n-878p2rLmA,,2,-6.403701,-0.8411859
xZRoYIQP_oE,,2,-6.403701,-0.8411859
LDg44DQZgVs,,2,-6.403701,-0.8411859
fUI2YiE993g,,2,-6.403701,-0.8411859
-F6GwSrtXhM,,2,-6.403701,-0.8411859
Xvrlv_SBckQ,,2,-6.403701,-0.8411859
4QMHfDx_LpM,,2,-6.403701,-0.8411859
Bm0ONlju0JA,,2,-6.403701,-0.8411859
XkJTV_BftVQ,,2,-6.403701,-0.8411859
fLylwsyWu1A,,2,-6.403701,-0.8411859
bxiOExMMsQQ,,2,-6.403701,-0.8411859
_y9m3t-SzLk,,2,-6.403701,-0.8411859
R6lFdNueJKI,,2,-6.403701,-0.8411859
ESJ0mDbConc,,2,-6.403701,-0.8411859
g9djczZWgIE,,2,-6.403701,-0.8411859
Yzs5XvtSBe0,,2,-6.403701,-0.8411859
lb7FhsJanfQ,,2,-6.403701,-0.8411859
HlQCejHo2lg,,2,-6.403701,-0.8411859
R61lOwPDQlI,,2,-6.403701,-0.8411859
zVCUMZ03V6c,,2,-6.403701,-0.8411859
2KMPO_X70aM,,2,-6.403701,-0.8411859
b-O-0DgG_DY,,2,-6.403701,-0.8411859
CNRdK2MXW2Y,,2,-6.403701,-0.8411859
gV1Sw7aSg5s,,2,-6.403701,-0.8411859
TrTHtmjfysM,,2,-6.403701,-0.8411859
GFBol7UmE5A,,2,-6.403701,-0.8411859
Z71SGgxxcas,,2,-6.403701,-0.8411859
m86NIvQvo5s,,2,-6.403701,-0.8411859
__Pyj4s_HHw,,2,-6.403701,-0.8411859
mT_pRro6B38,,2,-6.403701,-0.8411859
joC-1ozWn4g,,2,-6.403701,-0.8411859
nhnmj-On7XQ,,2,-6.403701,-0.8411859
zgE9h0PPY5M,,2,-6.403701,-0.8411859
_QsLHWkIR3k,,2,-6.403701,-0.8411859
YSwpuGIcbMs,,2,-6.403701,-0.8411859
Lkw5hqYyaMI,,2,-6.403701,-0.8411859
XX8bltC9TvQ,,2,-6.403701,-0.8411859
iI8upcCsuK0,,2,-6.403701,-0.8411859
7rEnUDFMHbs,,2,-6.403701,-0.8411859
_m4bsvYdwns,,2,-6.403701,-0.8411859
GBXtb7l13bY,,2,-6.403701,-0.8411859
gptvonTBNz0,,2,-6.403701,-0.84118664
wTlERUE8LVw,,2,-6.403701,-0.8411859
fhjrkzUSTf4,,2,-6.403701,-0.8411859
Rz-79kB5W6U,,2,-6.403701,-0.8411859
V7LUjofUagk,,2,-6.403701,-0.8411859
O6w63JKzcnI,,2,-6.403701,-0.8411859
MwGHSqKerOo,,2,-6.403701,-0.8411859
i-qD_1SJHCA,,2,-6.403701,-0.8411859
7aLmPpGdCfY,,2,-6.403701,-0.8411859
oqQwMDptEYA,,2,-6.403701,-0.8411859
G1q80doOQNY,,2,-6.403701,-0.8411859
WzZQH65Okrs,,2,-6.403701,-0.8411859
J4d_nLGfPlw,,2,-6.403701,-0.8411859
6zEZDVvoM5Y,,2,-6.403701,-0.8411859
8wd8E_AsOU4,,2,-6.403701,-0.8411859
GdxiOBvyDZE,,2,-6.403701,-0.8411859
M8qo6HWcSTQ,,2,-6.403701,-0.8411859
MNcMDSvNo_I,,2,-6.403701,-0.8411859
ncM9ij4xDt4,,2,-6.403701,-0.8411859
LU1_eh94nnQ,,2,-6.403701,-0.8411859
ue-VLup-y2M,,2,-6.403701,-0.8411859
BIvwtnPDipg,,2,-6.403701,-0.8411859
tHfQrY_3gKU,,2,-6.403701,-0.8411859
xYJLURu3cl0,,2,-6.403701,-0.8411859
WD23NWQqk4o,,2,-6.403701,-0.8411859
ISWN1yWnhfA,,2,-6.403701,-0.8411859
_iwYr_FG9f8,,2,-6.403701,-0.8411859
SmsG86qqVg0,,2,-6.403701,-0.8411859
Fo_nS9wrcXM,,2,-6.403701,-0.8411859
kCxt924FTlk,,2,-6.403701,-0.8411859
T0vIpA-ieRg,,2,-6.403701,-0.8411859
Cq8QgUPiIkE,,2,-6.403701,-0.8411859
Hu4uufoly0A,,2,-6.403701,-0.8411859
tHEt-bMm2cY,,2,-6.403701,-0.8411859
RarcK7NBz_s,,2,-6.403701,-0.8411859
OpLJGHUDXzU,,2,-6.403701,-0.8411859
UBMTzd3gpnc,,2,-6.403701,-0.8411859
2NXYIfHnKS0,,2,-6.403701,-0.8411859
sufxesh6dAU,,2,-6.403701,-0.8411859
YG7p-spx4ok,,2,-6.403701,-0.8411859
3_5eKn_QRD4,,2,-6.403701,-0.8411859
ArFaYJ_gst4,,2,-6.403701,-0.8411859
zybhU7wl2GI,,2,-6.403701,-0.8411859
TCeM1ifmBH4,,2,-6.403701,-0.8411859
G_OqY7smE8w,,2,-6.403701,-0.84118664
HsfYynINzPg,,2,-6.403701,-0.8411859
0uVXngoeqk4,,2,-6.403701,-0.8411859
S9q3e8AL_-0,,2,-6.403701,-0.8411859
2bczncKnjPI,,2,-6.403701,-0.8411859
Ad9jG5MpM2E,,2,-6.403701,-0.8411859
a5kqCTEuWfU,,2,-6.403701,-0.8411859
Y80nUYFZCoE,,2,-6.403701,-0.8411859
EFNXGJkg-Z4,,2,-6.403701,-0.8411859
Wn9k4zVCTLk,,2,-6.403701,-0.8411859
CAX1_gf_2f4,,2,-6.403701,-0.8411859
AlSrber5YNM,,2,-6.403701,-0.8411859
SXb7FGWEFec,,2,-6.403701,-0.8411859
1jkzBIyaNIM,,2,-6.403701,-0.8411859
NykifKTWxqs,,2,-6.403701,-0.8411859
lKh3kVzr1d0,,2,-6.403701,-0.8411859
y2gH1onKxy8,,2,-6.403701,-0.84118664
2Of_XRrqbUU,,2,-6.403701,-0.8411859
bnansLwgs28,,2,-6.403701,-0.8411859
sH0SwSsKS3g,,2,-6.403701,-0.8411859
ZzWIaF3IVLw,,2,-6.403701,-0.8411859
RFG2iQU8zP0,,2,-6.403701,-0.8411859
ZYmUCuYMf-M,,2,-6.403701,-0.8411859
tZ3932RarRI,,2,-6.403701,-0.8411859
kvbxSHTW7-A,,2,-6.403701,-0.8411859
sggwtsSkVSw,,2,-6.403701,-0.8411859
Pwe3pjbOVas,,2,-6.403701,-0.8411859
dB9xrZwPfAw,,2,-6.403701,-0.8411859
L7xMqiHSzyg,,2,-6.403701,-0.84118664
f7x3ygKOx9Y,,2,-6.403701,-0.84118664
wqLPiCAVgMs,,2,-6.403701,-0.8411859
a9-1fVA7U_8,,2,-6.403701,-0.8411859
iEoZ5KitYDg,,2,-6.403701,-0.8411859
d6bc84nO9B8,,2,-6.403701,-0.8411859
A6rCGP9NrOo,,2,-6.403701,-0.8411859
nUVpv2U3IcU,,2,-6.403701,-0.8411859
kQz8xNJ_AZU,,2,-6.403701,-0.8411859
ksHaOU7Kt74,,2,-6.403701,-0.8411859
BVwdY6WkGxI,,2,-6.403701,-0.8411859
TaT7wKkw5qs,,2,-6.403701,-0.8411859
P6EC5amOtvw,,2,-6.403701,-0.8411859
KLy3hhX2GBA,,2,-6.403701,-0.8411859
zihLj9qF2xo,,2,-6.403701,-0.8411859
i_9KzfOYOUQ,,2,-6.403701,-0.8411859
TeWekX9VORg,,2,-6.403701,-0.8411859
7pSGhTgPkzo,,2,-6.403701,-0.8411859
YmemLL-_G24,,2,-6.403701,-0.8411859
3WAZtSUQLIU,,2,-6.403701,-0.8411859
slnStDDyUQs,,2,-6.403701,-0.8411859
lZXDClzL8m8,,2,-6.403701,-0.8411859
LgCDPlIZwmw,,2,-6.403701,-0.8411859
v0NNI5wS_GM,,2,-6.403701,-0.8411859
vMgHh_ILoKE,,2,-6.403701,-0.8411859
n7k_AWPGNrc,,2,-6.403701,-0.84118664
OBQ9cBGbIbY,,2,-6.403701,-0.84118664
dhMyfO1-msk,,2,-6.403701,-0.84118664
fVN0oIQd-P8,,2,-6.403701,-0.8411859
xm0YBwkyzGo,,2,-6.403701,-0.8411859
a-W4Daf7_-s,,2,-6.403701,-0.8411859
VKuOAN7Mwsw,,2,-6.403701,-0.8411859
sKFn4g-g098,,2,-6.403701,-0.8411859
Wo9KxrLmlgo,,2,-6.403701,-0.8411859
aPrL4D5Qvcs,,2,-6.403701,-0.8411859
k8suGOSZcrQ,,2,-6.403701,-0.8411859
0P1BkPGY_LE,,2,-6.403701,-0.8411859
1gydKIIPXxk,,2,-6.403701,-0.8411859
Gov6lYBEPBg,,2,-6.403701,-0.8411859
7N83WgMhGFg,,2,-6.403701,-0.84118664
tIHaML6KhA8,,2,-6.403701,-0.8411859
lvm-Tc-l6xY,,2,-6.403701,-0.8411859
UHttHqrNXJ8,,2,-6.403701,-0.8411859
Cw2ZCaaesII,,2,-6.403701,-0.8411859
pbIW5irIweY,,2,-6.403701,-0.8411859
yKfMvKCwK-0,,2,-6.403701,-0.8411859
SavMTI1KLGk,,2,-6.403701,-0.8411859
IR4YfG0EHok,,2,-6.403701,-0.8411859
MOXcQotyTHM,,2,-6.403701,-0.8411859
oxkML7cWV2I,,2,-6.403701,-0.8411859
tifIFfqM7lg,,2,-6.403701,-0.8411859
nO263rVKTNc,,2,-6.403701,-0.8411859
UcgojreNpGY,,2,-6.403701,-0.8411859
CgYpx0eCBFY,,2,-6.403701,-0.8411859
CVX6o95uFw8,,2,-6.403701,-0.8411859
leI26ssf03c,,2,-6.403701,-0.8411859
vUiEWM3ucrA,,2,-6.403701,-0.8411859
Vre8NTDyDgk,,2,-6.403701,-0.8411859
OvjEl_0KUoE,,2,-6.403701,-0.8411859
j799LRuKk2U,,2,-6.403701,-0.8411859
X5lKl8tTH9w,,2,-6.403701,-0.8411859
25Q25Q2anFk,,2,-6.403701,-0.8411859
PHbxrOIvfUw,,2,-6.403701,-0.8411859
yZU5PxyAiR4,,2,-6.403701,-0.8411859
mqOY70QBz7U,,2,-6.403701,-0.8411859
e-cgENjq-5A,,2,-6.403701,-0.8411859
Nk3M8nfWaPY,,2,-6.403701,-0.84118664
wVmuMBks7Uw,,2,-6.403701,-0.84118664
xqqlmN5JpGw,,2,-6.403701,-0.8411859
urxd9p2TeNQ,,2,-6.403701,-0.8411859
uO3hlDiOBpQ,,2,-6.403701,-0.8411859
_U9dMowsscM,,2,-6.403701,-0.8411859
hVuYi1Oaxh0,,2,-6.403701,-0.8411859
FvbS69_O6_M,,2,-6.403701,-0.8411859
AVGPPj3c-b0,,2,-6.403701,-0.8411859
E-P51HV46sQ,,2,-6.403701,-0.8411859
JR0jhnzM5VU,,2,-6.403701,-0.8411859
8qbrBlk8Xpc,,2,-6.403701,-0.8411859
SFvO4qGbhUw,,2,-6.403701,-0.8411859
swDXRK8larA,,2,-6.403701,-0.8411859
uDIWVhClXZs,,2,-6.403701,-0.8411859
PA8Xp8zG8lY,,2,-6.403701,-0.84118664
mTmgaxtgSJ8,,2,-6.403701,-0.8411859
15jelO2VXY8,,2,-6.403701,-0.8411859
p_LIjjqvh0o,,2,-6.403701,-0.8411859
t1bBhtyaJ5A,,2,-6.403701,-0.8411859
HoxQ7aAcVxE,,2,-6.403701,-0.8411859
BB7UNULD-ek,,2,-6.403701,-0.8411859
wNZFPIK4esk,,2,-6.403701,-0.8411859
3Tt8xioiz5o,,2,-6.403701,-0.8411859
_8gxqr9eiuU,,2,-6.403701,-0.8411859
L4-2PXNXz-I,,2,-6.403701,-0.8411859
3N6snWMfZTo,,2,-6.403701,-0.8411859
8Sw9WZeWzdU,,2,-6.403701,-0.8411859
5G9oQvDXHGs,,2,-6.403701,-0.8411859
780xD4hQSwE,,2,-6.403701,-0.8411859
H34sOwyicCA,,2,-6.403701,-0.8411859
eSVLUkLEl0Q,,2,-6.403701,-0.8411859
aIkUiUV6jWI,,2,-6.403701,-0.8411859
zgJRP1hUMSQ,,2,-6.403701,-0.8411859
iqPwhd-Cr4o,,2,-6.403701,-0.8411859
csBlhSP3F0E,,2,-6.403701,-0.8411859
_u7DmBV9i5g,,2,-6.403701,-0.8411859
fZy3z-Y-49E,,2,-6.403701,-0.8411859
h8suGS8iarQ,,2,-6.403701,-0.8411859
9x-dH4FrWwM,,2,-6.403701,-0.8411859
MvMLNTrBZ5A,,2,-6.403701,-0.8411859
